variavel,numero_filmes,alocacao_tempo,tempo_execucao,nome_arquivo
filme,5,8,0.000545,in5.txt
filme,10,16,0.135047,in25.txt
filme,7,15,0.004461,in15.txt
filme,9,19,0.016851,in22.txt
filme,12,14,0.822030,in33.txt
filme,8,15,0.030289,in23.txt
filme,6,13,0.005265,in18.txt
filme,10,15,0.820569,in34.txt
filme,11,20,0.748665,in37.txt
filme,4,6,0.000333,in6.txt
filme,6,13,-0.000082,in9.txt
filme,9,13,0.013147,in17.txt
filme,11,18,1.779117,in38.txt
filme,2,6,0.000232,in3.txt
filme,9,14,0.419299,in29.txt
filme,4,7,0.000070,in7.txt
filme,8,16,0.005269,in16.txt
filme,5,9,-0.000099,in8.txt
filme,8,12,0.018286,in19.txt
filme,9,20,0.212486,in30.txt
filme,8,14,0.119874,in26.txt
filme,12,18,5.580935,in40.txt
filme,8,12,0.057789,in24.txt
filme,8,12,0.003397,in13.txt
filme,9,14,1.546415,in35.txt
filme,7,16,0.002338,in12.txt
filme,2,2,0.000086,in2.txt
filme,5,10,0.000865,in11.txt
filme,11,20,0.599231,in28.txt
filme,6,12,0.001017,in14.txt
filme,9,22,0.027402,in20.txt
filme,10,19,0.910689,in36.txt
filme,12,18,0.511701,in31.txt
filme,12,17,0.182304,in27.txt
filme,9,16,0.045311,in21.txt
filme,9,17,0.640085,in39.txt
filme,5,8,0.000588,in10.txt
filme,9,19,0.378987,in32.txt
filme,1,2,-0.000290,in1.txt
filme,2,4,-0.000034,in4.txt
