variavel,numero_filmes,alocacao_tempo,tempo_execucao,nome_arquivo
filme,3,7,0.003652,in25.txt
filme,4,6,0.001018,in15.txt
filme,4,10,0.000647,in22.txt
filme,3,3,0.001212,in33.txt
filme,3,8,0.000889,in23.txt
filme,4,5,0.002655,in34.txt
filme,4,9,0.003359,in37.txt
filme,4,8,0.001520,in6.txt
filme,4,7,0.000029,in9.txt
filme,3,4,0.000627,in17.txt
filme,3,6,0.001623,in38.txt
filme,2,5,0.000704,in3.txt
filme,3,7,0.003835,in7.txt
filme,5,9,0.002154,in16.txt
filme,2,3,0.000660,in8.txt
filme,5,10,0.001346,in19.txt
filme,3,6,0.001218,in30.txt
filme,4,6,0.000857,in26.txt
filme,2,2,0.001976,in40.txt
filme,3,6,0.000763,in24.txt
filme,2,5,0.001202,in13.txt
filme,3,5,0.004966,in35.txt
filme,5,12,0.002243,in12.txt
filme,1,1,0.004972,in2.txt
filme,3,8,0.004012,in11.txt
filme,3,8,0.002893,in28.txt
filme,4,1121496253,0.000196,in14.txt
filme,2,6,0.001381,in20.txt
filme,3,7,0.004568,in36.txt
filme,5,8,0.000746,in31.txt
filme,3,4,0.003451,in27.txt
filme,2,4,0.001521,in21.txt
filme,5,13,0.001678,in39.txt
filme,3,6,0.003986,in10.txt
filme,1,2,0.000395,in1.txt
filme,2,4,0.000200,in4.txt
