variavel,numero_filmes,alocacao_tempo,tempo_execucao,nome_arquivo
filme,5,8,0.000031,in5.txt
filme,10,14,0.000043,in25.txt
filme,7,13,0.000051,in15.txt
filme,8,16,0.000038,in22.txt
filme,12,14,0.000045,in33.txt
filme,8,14,0.000041,in23.txt
filme,6,10,0.000035,in18.txt
filme,9,13,0.000050,in34.txt
filme,11,19,0.000050,in37.txt
filme,4,7,0.000038,in6.txt
filme,6,13,0.000033,in9.txt
filme,8,12,0.000036,in17.txt
filme,10,17,0.000045,in38.txt
filme,2,5,0.000023,in3.txt
filme,9,11,0.000036,in29.txt
filme,4,7,0.000057,in7.txt
filme,8,11,0.000032,in16.txt
filme,5,9,0.000027,in8.txt
filme,8,9,0.000033,in19.txt
filme,9,18,0.000047,in30.txt
filme,8,14,0.000039,in26.txt
filme,12,17,0.000044,in40.txt
filme,8,12,0.000039,in24.txt
filme,8,12,0.000029,in13.txt
filme,9,13,0.000044,in35.txt
filme,7,13,0.000031,in12.txt
filme,2,2,0.000048,in2.txt
filme,5,9,0.000029,in11.txt
filme,10,17,0.000046,in28.txt
filme,6,11,0.000038,in14.txt
filme,9,17,0.000041,in20.txt
filme,10,15,0.000046,in36.txt
filme,12,16,0.000040,in31.txt
filme,12,17,0.000033,in27.txt
filme,9,13,0.000031,in21.txt
filme,9,12,0.000038,in39.txt
filme,5,8,0.000024,in10.txt
filme,9,14,0.000050,in32.txt
filme,1,2,0.000052,in1.txt
filme,2,4,0.000024,in4.txt
