variavel,numero_filmes,alocacao_tempo,tempo_execucao,nome_arquivo
filme,2,4,0.000023,in5.txt
filme,7,11,0.000029,in25.txt
filme,5,11,0.000029,in15.txt
filme,4,10,0.000030,in22.txt
filme,8,9,0.000031,in33.txt
filme,6,11,0.000029,in23.txt
filme,4,11,0.000026,in18.txt
filme,6,10,0.000032,in34.txt
filme,6,12,0.000040,in37.txt
filme,3,6,0.000027,in6.txt
filme,4,5,0.000026,in9.txt
filme,4,7,0.000059,in17.txt
filme,6,12,0.000038,in38.txt
filme,2,5,0.000023,in3.txt
filme,5,9,0.000053,in29.txt
filme,3,6,0.000024,in7.txt
filme,4,11,0.000028,in16.txt
filme,3,4,0.000056,in8.txt
filme,5,8,0.000035,in19.txt
filme,6,14,0.000037,in30.txt
filme,6,9,0.000040,in26.txt
filme,8,13,0.000041,in40.txt
filme,5,10,0.000034,in24.txt
filme,6,10,0.000031,in13.txt
filme,6,11,0.000050,in35.txt
filme,4,9,0.000026,in12.txt
filme,1,1,0.000022,in2.txt
filme,4,10,0.000026,in11.txt
filme,7,14,0.000050,in28.txt
filme,3,4,0.000062,in14.txt
filme,4,7,0.000031,in20.txt
filme,6,9,0.000073,in36.txt
filme,8,12,0.000042,in31.txt
filme,7,13,0.000045,in27.txt
filme,6,8,0.000035,in21.txt
filme,7,11,0.000040,in39.txt
filme,4,5,0.000040,in10.txt
filme,4,9,0.000039,in32.txt
filme,1,2,0.000031,in1.txt
filme,2,4,0.000029,in4.txt
