variavel,numero_filmes,alocacao_tempo,tempo_execucao,nome_arquivo
filme,0,0,0.617303,in1.txt
filme,0,0,0.079065,in2.txt
filme,1,0,0.077147,in3.txt
filme,1,0,0.086489,in4.txt
filme,1,0,0.075526,in5.txt
filme,2,0,0.077148,in6.txt
filme,1,0,0.076618,in7.txt
filme,1,0,0.080706,in8.txt
filme,2,0,0.082340,in9.txt
filme,2,0,0.084140,in10.txt
filme,2,0,0.080294,in11.txt
filme,4,0,0.082185,in12.txt
filme,2,0,0.083796,in13.txt
filme,3,0,0.080779,in14.txt
filme,3,0,0.085348,in15.txt
filme,3,0,0.085280,in16.txt
filme,3,0,0.087532,in17.txt
filme,3,0,0.087581,in18.txt
filme,3,0,0.093033,in19.txt
filme,3,0,0.088172,in20.txt
filme,3,0,0.090177,in21.txt
filme,3,0,0.091259,in22.txt
filme,3,0,0.092465,in23.txt
filme,3,0,0.094810,in24.txt
filme,3,0,0.095383,in25.txt
filme,4,0,0.097584,in26.txt
filme,3,0,0.102908,in27.txt
filme,4,0,0.103607,in28.txt
filme,3,0,0.105460,in29.txt
filme,3,0,0.103501,in30.txt
filme,3,0,0.105143,in31.txt
filme,3,0,0.108660,in32.txt
filme,3,0,0.114104,in33.txt
filme,4,0,0.116708,in34.txt
filme,2,0,0.117357,in35.txt
filme,3,0,0.117878,in36.txt
filme,3,0,0.119458,in37.txt
filme,3,0,0.121801,in38.txt
filme,3,0,0.128902,in39.txt
filme,3,0,0.130107,in40.txt
