240 20
1 11 13 16 8 3 17 17 3 12 9 10 9 16 19 13 8 7 15 12 
1 4 7
22 0 10
20 22 12
0 3 2
7 9 5
12 12 14
1 2 7
21 23 11
19 21 12
11 12 5
4 6 3
1 1 16
2 4 12
12 14 5
14 17 16
1 4 13
12 14 2
11 14 9
19 21 13
0 3 1
16 18 19
5 9 3
6 10 2
3 4 15
14 17 16
21 22 5
22 0 11
23 2 10
0 2 13
12 16 20
22 1 2
22 23 8
19 21 20
22 0 5
23 1 19
17 18 12
17 18 7
17 18 10
14 16 17
17 21 7
7 9 16
12 13 15
5 7 15
22 1 3
22 23 14
11 13 8
14 14 4
23 0 8
0 2 5
4 7 9
8 11 6
13 16 7
13 16 6
22 23 11
5 8 14
12 14 2
12 13 1
8 8 13
7 9 8
18 21 13
3 6 20
1 2 1
3 3 10
8 11 14
18 20 9
8 10 1
22 0 2
5 7 6
5 5 1
13 16 20
2 6 14
14 16 18
22 1 19
14 16 3
13 15 6
13 16 18
22 0 8
6 8 8
15 18 13
1 4 10
18 19 5
21 23 7
1 4 18
21 23 2
2 6 16
19 22 4
1 3 7
1 4 19
5 8 1
14 17 11
18 21 18
6 7 15
14 16 18
6 9 16
10 13 10
9 13 20
7 11 5
18 22 16
11 13 20
4 7 7
12 14 19
11 13 5
16 18 6
6 7 15
21 23 13
19 21 8
20 22 15
20 22 8
18 22 16
3 5 4
14 18 3
3 5 14
3 4 1
17 19 9
9 12 20
4 6 3
16 18 1
22 23 13
1 5 2
4 6 15
12 15 8
22 0 19
23 2 15
19 20 13
11 12 12
17 18 13
21 22 12
13 15 18
6 10 9
7 9 14
13 14 8
10 12 9
6 9 8
0 2 19
12 14 15
12 13 18
2 4 1
1 5 2
9 12 8
6 7 11
18 21 7
5 7 3
9 11 15
14 16 7
20 20 13
6 7 12
4 6 13
10 10 17
9 8 3
17 19 20
8 14 5
14 16 17
19 21 17
12 13 2
23 0 17
4 7 2
11 12 17
1 5 19
17 21 5
20 23 10
18 20 11
14 17 17
23 1 16
7 8 6
23 1 5
16 17 6
17 19 6
0 3 6
5 6 3
22 0 20
23 1 1
22 1 15
6 7 2
4 6 4
21 0 18
17 19 7
14 17 20
21 0 13
6 9 11
17 17 1
3 5 19
4 8 3
17 19 5
12 14 11
11 14 4
8 10 14
23 0 8
10 11 11
0 2 11
10 11 2
12 14 19
4 6 12
9 10 15
0 2 2
18 20 1
10 13 2
10 12 10
0 1 18
1 1 10
1 3 16
18 20 14
0 1 2
1 3 8
14 16 7
2 3 1
15 14 16
9 12 11
10 13 14
17 18 12
7 10 19
22 1 20
23 2 8
1 2 7
23 0 10
0 1 17
20 21 16
11 14 11
7 9 2
17 22 7
17 20 7
7 10 9
12 13 2
6 8 4
18 21 1
16 19 17
23 23 14
12 13 8
3 7 15
17 18 11
2 4 4
14 17 11
16 18 9
0 2 16
23 2 3
4 6 18
12 15 8
16 19 2
22 0 18
12 15 7
14 16 19
