variavel,numero_filmes,alocacao_tempo,tempo_execucao,nome_arquivo
filme,4,6,-0.000281,in5.txt
filme,9,17,0.085434,in25.txt
filme,8,13,0.008124,in15.txt
filme,8,17,0.029214,in22.txt
filme,11,18,2.545856,in33.txt
filme,8,15,0.011452,in23.txt
filme,8,13,0.010628,in18.txt
filme,12,16,1.554673,in34.txt
filme,11,18,1.582807,in37.txt
filme,5,9,0.000582,in6.txt
filme,2,2,0.000151,in9.txt
filme,8,17,0.012637,in17.txt
filme,11,19,2.106872,in38.txt
filme,3,6,0.000168,in3.txt
filme,9,16,0.373999,in29.txt
filme,6,9,-0.000250,in7.txt
filme,5,10,0.003015,in16.txt
filme,6,12,0.000005,in8.txt
filme,10,15,0.032804,in19.txt
filme,11,16,0.315761,in30.txt
filme,11,16,0.154299,in26.txt
filme,12,21,3.835583,in40.txt
filme,7,10,0.031870,in24.txt
filme,7,12,0.001332,in13.txt
filme,14,20,4.204511,in35.txt
filme,6,7,0.001488,in12.txt
filme,2,3,-0.000198,in2.txt
filme,6,14,0.001107,in11.txt
filme,8,13,0.081696,in28.txt
filme,7,11,0.002333,in14.txt
filme,10,14,0.036267,in20.txt
filme,12,19,3.195986,in36.txt
filme,13,18,0.852414,in31.txt
filme,11,16,0.207080,in27.txt
filme,10,16,0.042420,in21.txt
filme,14,20,6.275698,in39.txt
filme,7,12,0.001122,in10.txt
filme,12,21,1.631824,in32.txt
filme,1,2,-0.000442,in1.txt
filme,2,5,-0.000197,in4.txt
categoria,10,14,0.091527,in5.txt
categoria,11,22,0.737066,in15.txt
categoria,8,17,0.180388,in6.txt
categoria,12,19,0.910876,in9.txt
categoria,8,15,0.130095,in3.txt
categoria,12,20,0.690795,in7.txt
categoria,11,16,0.156009,in8.txt
categoria,10,13,0.278771,in13.txt
categoria,11,19,0.488624,in12.txt
categoria,4,7,0.010632,in2.txt
categoria,12,13,0.275744,in11.txt
categoria,12,18,0.496878,in14.txt
categoria,10,19,0.567673,in10.txt
categoria,2,3,0.000484,in1.txt
categoria,10,17,0.162573,in4.txt
