variavel,numero_filmes,alocacao_tempo,tempo_execucao,nome_arquivo
filme,4,6,0.000065,in5.txt
filme,9,16,0.000055,in25.txt
filme,8,13,0.000046,in15.txt
filme,8,14,0.000048,in22.txt
filme,11,16,0.000052,in33.txt
filme,8,11,0.000052,in23.txt
filme,8,12,0.000041,in18.txt
filme,12,15,0.000064,in34.txt
filme,11,20,0.000112,in37.txt
filme,5,9,0.000038,in6.txt
filme,2,3,0.000034,in9.txt
filme,8,16,0.000033,in17.txt
filme,11,14,0.000044,in38.txt
filme,3,6,0.000032,in3.txt
filme,9,15,0.000041,in29.txt
filme,6,9,0.000030,in7.txt
filme,5,8,0.000052,in16.txt
filme,6,12,0.000034,in8.txt
filme,9,12,0.000039,in19.txt
filme,11,15,0.000057,in30.txt
filme,11,15,0.000044,in26.txt
filme,12,18,0.000063,in40.txt
filme,7,12,0.000190,in24.txt
filme,6,12,0.000046,in13.txt
filme,14,19,0.000047,in35.txt
filme,6,7,0.000063,in12.txt
filme,2,3,0.000037,in2.txt
filme,6,13,0.000037,in11.txt
filme,7,11,0.000046,in28.txt
filme,7,11,0.000034,in14.txt
filme,10,13,0.000042,in20.txt
filme,12,15,0.000045,in36.txt
filme,13,17,0.000042,in31.txt
filme,10,13,0.000039,in27.txt
filme,10,15,0.000036,in21.txt
filme,14,20,0.000062,in39.txt
filme,7,12,0.000035,in10.txt
filme,12,19,0.000048,in32.txt
filme,1,2,0.000048,in1.txt
filme,2,4,0.000029,in4.txt
categoria,9,14,0.000063,in5.txt
categoria,11,17,0.000058,in15.txt
categoria,8,15,0.000054,in6.txt
categoria,12,14,0.000052,in9.txt
categoria,8,15,0.000049,in3.txt
categoria,11,19,0.000046,in7.txt
categoria,11,20,0.000115,in8.txt
categoria,10,16,0.000045,in13.txt
categoria,10,13,0.000046,in12.txt
categoria,4,7,0.000041,in2.txt
categoria,12,16,0.000057,in11.txt
categoria,12,18,0.000105,in14.txt
categoria,10,17,0.000074,in10.txt
categoria,2,2,0.000050,in1.txt
categoria,10,17,0.000043,in4.txt
