variavel,numero_filmes,alocacao_tempo,tempo_execucao,nome_arquivo
filme,2,0,0.991911,in17.txt
filme,1,0,0.180838,in12.txt
filme,0,0,0.170923,in2.txt
filme,3,0,0.218682,in36.txt
filme,4,0,0.224169,in35.txt
filme,2,0,0.171251,in8.txt
filme,2,0,0.173407,in7.txt
filme,2,0,0.176484,in11.txt
filme,4,0,0.194988,in26.txt
filme,1,0,0.173701,in3.txt
filme,4,0,0.203564,in31.txt
filme,5,0,0.225788,in40.txt
filme,5,0,0.222248,in37.txt
filme,3,0,0.182166,in22.txt
filme,0,0,0.170585,in1.txt
filme,3,0,0.203390,in32.txt
filme,2,0,0.171634,in6.txt
filme,2,0,0.175063,in14.txt
filme,3,0,0.178949,in19.txt
filme,1,0,0.170629,in4.txt
filme,4,0,0.178751,in20.txt
filme,3,0,0.186971,in24.txt
filme,2,0,0.173580,in13.txt
filme,2,0,0.173927,in10.txt
filme,4,0,0.215694,in39.txt
filme,3,0,0.207674,in33.txt
filme,4,0,0.173695,in15.txt
filme,3,0,0.180650,in16.txt
filme,3,0,0.194429,in30.txt
filme,2,0,0.187215,in27.txt
filme,3,0,0.181382,in18.txt
filme,2,0,0.173974,in9.txt
filme,2,0,0.169765,in5.txt
filme,3,0,0.195558,in29.txt
filme,3,0,0.213111,in38.txt
filme,3,0,0.182002,in21.txt
filme,3,0,0.205613,in34.txt
filme,2,0,0.191755,in28.txt
filme,3,0,0.191854,in25.txt
filme,3,0,0.191901,in23.txt
categoria,2,0,0.216077,in12.txt
categoria,2,0,0.179646,in2.txt
categoria,3,0,0.201895,in8.txt
categoria,3,0,0.197704,in7.txt
categoria,3,0,0.210030,in11.txt
categoria,2,0,0.182260,in3.txt
categoria,1,0,0.190228,in1.txt
categoria,3,0,0.211251,in6.txt
categoria,3,0,0.248113,in14.txt
categoria,2,0,0.208562,in4.txt
categoria,3,0,0.250154,in13.txt
categoria,4,0,0.236194,in10.txt
categoria,3,0,0.260550,in15.txt
categoria,4,0,0.223714,in9.txt
categoria,2,0,0.189443,in5.txt
