720 5
3 4 3 2 3 
1 3 5
9 12 4
18 21 5
20 23 3
4 8 4
11 12 3
14 16 2
0 1 2
17 19 3
2 3 4
3 4 4
5 6 3
15 20 3
22 23 1
12 14 4
2 4 3
22 0 1
18 20 5
14 15 4
17 20 2
8 10 1
5 6 1
10 11 3
1 0 2
14 15 1
2 2 2
15 18 4
23 2 4
7 8 5
12 14 1
9 11 1
10 12 5
14 17 5
20 0 4
10 12 2
13 16 3
11 12 4
17 19 2
16 18 5
2 4 5
13 16 4
14 17 4
7 10 4
3 7 4
8 11 2
17 19 1
15 17 3
20 22 3
18 19 1
19 22 4
21 0 1
4 6 4
11 13 2
22 1 2
23 1 5
8 10 1
13 15 1
16 16 3
23 0 2
8 11 2
8 9 1
16 19 3
2 5 1
16 18 1
19 21 4
17 19 5
21 22 5
6 7 4
21 22 5
8 9 2
10 13 4
8 8 3
20 21 1
10 13 5
10 12 2
9 13 5
18 21 5
5 8 4
17 19 5
7 11 5
8 10 4
13 15 1
22 0 2
2 4 3
19 20 3
19 20 3
13 17 3
13 15 5
10 12 5
2 3 5
7 9 1
18 20 1
1 3 2
22 1 2
19 21 2
6 7 3
14 15 2
9 14 2
16 17 1
4 5 5
12 14 4
21 0 1
19 22 3
19 19 5
0 0 4
19 21 2
17 18 1
11 14 1
22 0 5
17 17 1
22 1 2
21 22 2
23 1 5
13 13 3
20 22 2
13 15 4
22 1 2
5 8 4
6 8 2
8 11 5
18 20 5
7 8 4
22 0 2
15 15 2
17 18 4
7 10 1
18 18 3
8 10 5
1 4 1
19 22 5
19 22 4
22 1 1
15 19 5
9 12 2
14 15 4
22 0 4
16 17 2
6 8 5
7 10 3
16 17 4
3 6 1
8 12 2
5 6 3
6 7 3
3 5 3
19 19 3
1 5 4
18 21 4
23 1 3
10 13 3
13 16 4
18 21 2
5 7 5
11 12 4
4 5 2
12 16 5
9 10 1
10 11 5
0 2 2
23 0 4
22 0 5
21 23 5
20 22 4
5 7 2
4 7 2
12 14 1
11 14 2
10 13 2
21 0 3
8 10 5
9 10 4
13 15 2
22 1 1
14 15 2
2 4 4
12 14 4
5 7 1
1 1 2
0 2 1
21 23 1
8 8 1
13 15 4
7 9 3
3 5 1
3 5 4
18 19 4
16 17 4
2 2 4
0 4 5
9 12 5
13 15 5
13 15 2
3 5 2
8 10 4
2 4 4
5 8 4
13 15 4
18 20 3
23 1 5
1 3 3
11 12 3
13 15 1
12 15 3
10 10 1
13 14 3
4 6 3
18 20 1
1 2 2
14 16 5
9 11 1
4 7 3
12 14 2
11 13 2
12 14 3
18 21 1
20 22 3
14 15 1
4 4 4
1 3 4
22 0 5
0 2 3
17 19 4
22 23 1
23 1 1
19 20 2
4 7 1
20 22 4
17 19 3
0 1 5
19 20 1
18 20 5
11 15 1
1 2 5
10 11 2
1 4 5
1 5 1
19 21 5
15 19 5
8 11 3
0 1 2
18 21 5
6 9 5
0 1 5
21 22 2
23 0 1
21 22 3
13 15 5
22 23 4
19 20 5
8 10 1
20 21 1
12 12 2
13 14 2
15 16 5
11 14 2
22 22 3
12 14 2
22 0 1
13 14 1
2 5 3
13 15 4
16 18 1
0 3 3
22 1 3
17 19 1
1 4 4
1 3 3
16 19 1
10 14 2
19 20 1
12 14 3
6 8 4
7 9 2
20 21 2
2 4 1
12 16 4
15 17 2
8 10 3
17 19 2
1 2 3
6 8 3
20 22 1
13 15 4
2 5 3
1 3 5
7 10 1
20 23 4
17 20 5
6 7 4
2 5 5
4 7 4
21 22 4
14 14 5
12 14 4
19 21 2
0 2 1
3 7 5
19 23 3
19 19 4
9 11 3
7 9 1
1 2 1
3 3 3
3 4 3
9 11 5
5 8 4
6 8 2
21 23 4
13 16 5
2 3 5
5 8 4
7 8 5
22 0 5
6 8 2
0 2 3
13 14 2
6 9 5
15 18 3
1 0 2
6 8 4
14 14 1
21 23 1
0 3 1
17 18 2
3 6 4
1 2 3
6 7 1
1 1 4
23 0 3
7 9 2
9 10 4
10 13 2
0 2 3
4 7 5
14 15 1
11 13 3
22 23 1
4 6 1
11 14 4
8 11 4
14 16 1
6 9 5
3 7 4
13 14 4
10 13 1
2 4 2
5 7 4
23 0 3
7 10 4
1 3 5
1 3 1
5 6 1
4 8 4
23 2 2
12 13 2
13 16 2
13 15 5
21 23 1
12 13 5
7 9 2
19 19 4
5 6 2
10 13 5
11 12 4
15 16 2
6 9 1
9 12 1
9 12 4
6 8 4
0 4 4
16 20 1
4 7 2
13 15 5
3 6 5
10 13 5
9 10 1
23 1 4
5 7 2
8 9 3
23 23 2
5 6 2
15 18 1
20 0 5
10 12 2
14 15 1
0 2 5
18 18 1
15 17 3
1 3 2
3 5 2
21 22 4
22 23 3
14 16 3
18 20 4
20 23 4
10 14 2
21 22 3
13 17 5
17 18 2
3 5 5
2 4 5
10 11 4
13 15 5
6 6 1
1 5 1
17 20 5
8 8 4
5 7 4
6 6 3
17 22 2
16 18 1
10 10 3
3 4 2
13 16 3
18 20 2
17 16 1
18 21 4
19 21 5
20 21 3
8 11 3
1 4 5
15 18 5
19 21 2
22 0 2
4 5 1
11 14 3
3 3 2
23 0 5
0 1 1
7 9 5
9 11 5
10 13 2
10 12 3
2 3 5
2 5 1
4 7 2
13 14 1
2 5 1
1 3 3
10 14 4
11 13 3
9 12 2
9 11 1
10 12 3
20 23 2
17 18 2
0 2 3
15 17 1
10 12 2
0 2 2
21 21 3
19 21 3
13 15 5
17 19 3
4 5 2
10 12 2
0 3 3
17 19 5
6 8 2
1 2 3
12 15 5
13 17 3
2 4 3
8 10 1
6 8 4
10 12 5
11 13 2
10 13 4
23 2 5
13 16 1
12 14 4
7 8 1
14 18 3
23 0 4
5 7 2
9 11 5
19 20 3
10 13 2
18 21 5
3 5 1
19 21 4
18 19 4
16 18 2
23 0 5
7 11 3
4 6 2
17 19 2
11 14 5
9 14 2
7 8 4
16 19 2
0 3 1
21 22 3
23 1 1
0 3 1
2 6 1
16 19 2
12 13 4
3 4 2
9 11 2
3 6 5
22 0 2
9 10 3
15 18 4
18 18 4
23 0 2
17 19 3
20 21 2
20 22 2
10 13 4
6 8 4
17 18 4
9 12 2
1 3 1
14 17 1
15 16 5
1 3 2
3 7 4
22 23 4
17 19 1
0 1 1
13 14 2
22 23 3
4 7 1
3 5 2
15 16 5
19 22 4
10 11 1
5 6 5
12 15 1
10 12 1
18 20 5
21 22 4
23 1 1
5 7 4
2 4 1
8 8 5
2 4 1
6 9 4
22 22 1
18 22 1
17 19 5
0 1 1
1 1 5
11 13 3
14 16 1
12 14 1
15 17 5
10 14 4
9 12 5
14 16 2
4 5 5
4 6 4
9 9 1
23 23 5
14 17 1
5 9 1
19 20 1
6 7 2
13 16 3
5 8 1
20 21 5
10 12 4
1 4 2
9 11 5
17 20 4
8 9 1
9 12 1
4 5 5
10 12 2
17 17 3
13 18 1
3 6 1
19 21 5
6 9 2
19 23 2
18 20 5
0 3 1
9 13 4
4 6 5
4 4 5
17 19 2
12 13 5
6 7 1
12 15 4
6 9 5
2 3 1
16 20 5
18 19 5
9 10 5
19 21 3
21 22 5
11 14 4
1 3 4
2 3 3
9 10 5
23 1 2
9 10 4
0 3 5
16 18 4
6 8 2
12 13 5
23 2 2
16 19 5
19 20 1
7 9 1
11 12 2
12 14 2
2 3 1
19 22 3
4 6 4
4 5 4
8 10 1
14 17 3
6 6 5
1 2 2
2 5 3
22 0 4
4 7 4
20 23 4
1 2 1
9 12 5
10 12 3
20 20 1
8 9 4
16 18 4
11 14 2
7 10 2
0 3 1
1 3 2
10 12 1
2 3 4
14 17 5
11 13 3
1 3 4
11 14 5
11 15 2
12 15 1
16 18 3
15 17 4
10 12 3
1 2 5
21 22 5
0 2 2
23 23 1
7 8 4
5 6 2
11 13 1
17 17 1
13 15 1
12 15 5
10 12 2
23 2 5
15 16 1
6 8 3
1 5 4
23 2 4
4 4 3
6 8 5
3 7 3
23 1 3
23 0 3
11 13 3
20 22 2
10 14 3
11 12 5
5 8 2
13 14 1
9 11 1
13 14 5
1 1 2
0 3 5
10 15 5
22 22 2
8 9 3
10 12 3
5 8 4
3 4 2
6 7 4
20 21 2
2 2 1
8 8 2
23 3 5
22 22 3
8 10 1
10 13 5
7 8 2
16 18 1
19 20 1
12 15 5
3 5 2
6 6 5
16 17 5
5 6 3
23 1 2
4 6 3
2 5 3
10 13 3
1 3 3
3 5 2
18 20 4
10 11 2
1 3 4
23 2 4
19 20 3
8 9 5
4 6 3
4 5 3
0 1 1
14 16 4
16 18 5
11 13 5
13 14 2
8 10 1
16 17 5
15 16 2
2 4 5
2 4 2
16 17 1
4 6 3
